Plate,Well,ID,Construct,Concentration,Area,Mean,Min,Max
1-,A1,1-A1,BBa_J364002,1,1310720,17.889,9,34
1-,A2,1-A2,BBa_J364002,0.5,1310720,27.039,16,45
1-,A3,1-A3,BBa_J364002,0.25,1310720,30.514,18,49
1-,A4,1-A4,BBa_J364002,0.125,1310720,35.785,19,55
1-,A5,1-A5,BBa_J364002,0.0625,1310720,34.636,20,54
1-,A6,1-A6,BBa_J364002,0.03125,1310720,34.449,19,56
1-,A7,1-A7,BBa_J364002,0.015625,1310720,25.752,15,43
1-,A8,1-A8,BBa_J364002,0.0078125,1310720,25.197,15,44
1-,A9,1-A9,BBa_J364002,0.00390625,1310720,20.115,11,38
1-,A10,1-A10,BBa_J364002,0.001953125,1310720,23.056,13,40
1-,A11,1-A11,BBa_J364002,0.000976563,1310720,26.836,15,49
1-,A12,1-A12,BBa_J364002,0,1310720,25.121,14,43
1-,B1,1-B1,BBa_J364007,1,1310720,84.536,69,85
1-,B2,1-B2,BBa_J364007,0.5,1310720,84.724,72,85
1-,B3,1-B3,BBa_J364007,0.25,1310720,84.097,66,85
1-,B4,1-B4,BBa_J364007,0.125,1310720,53.108,40,68
1-,B5,1-B5,BBa_J364007,0.0625,1310720,38.569,26,55
1-,B6,1-B6,BBa_J364007,0.03125,1310720,35.936,22,53
1-,B7,1-B7,BBa_J364007,0.015625,1310720,47.208,29,62
1-,B8,1-B8,BBa_J364007,0.0078125,1310720,32.862,18,53
1-,B9,1-B9,BBa_J364007,0.00390625,1310720,32.915,19,51
1-,B10,1-B10,BBa_J364007,0.001953125,1310720,31.701,18,50
1-,B11,1-B11,BBa_J364007,0.000976563,1310720,27.145,15,46
1-,B12,1-B12,BBa_J364007,0,1310720,27.906,15,48
1-,C1,1-C1,BBa_J364000,1,1310720,84.879,72,85
1-,C2,1-C2,BBa_J364000,0.5,1310720,84.661,73,85
1-,C3,1-C3,BBa_J364000,0.25,1310720,84.52,70,85
1-,C4,1-C4,BBa_J364000,0.125,1310720,78.025,51,85
1-,C5,1-C5,BBa_J364000,0.0625,1310720,48.69,35,65
1-,C6,1-C6,BBa_J364000,0.03125,1310720,55.119,31,73
1-,C7,1-C7,BBa_J364000,0.015625,1310720,34.647,22,53
1-,C8,1-C8,BBa_J364000,0.0078125,1310720,32.08,20,50
1-,C9,1-C9,BBa_J364000,0.00390625,1310720,34.154,18,51
1-,C10,1-C10,BBa_J364000,0.001953125,1310720,28.45,15,46
1-,C11,1-C11,BBa_J364000,0.000976563,1310720,27.448,13,48
1-,C12,1-C12,BBa_J364000,0,1310720,21.685,10,38
