Plate,Well,ID,Concentration,Area,Mean,Min,Max,Replicate
1-,A1,1-A1,10,1310720,96.491,73,119,1
1-,A2,1-A2,5,1310720,89.286,65,114,1
1-,A3,1-A3,2.5,1310720,87.301,61,112,1
1-,A4,1-A4,1.25,1310720,84.969,73,89,1
1-,A5,1-A5,0.625,1310720,84.677,71,96,1
1-,A6,1-A6,0.3125,1310720,86.23,69,99,1
1-,A7,1-A7,0.15625,1310720,67.752,50,89,1
1-,A8,1-A8,0.078125,1310720,46.104,33,63,1
1-,A9,1-A9,0.0390625,1310720,21.394,11,41,1
1-,A10,1-A10,0.01953125,307200,19.865,11,33,1
1-,A11,1-A11,0.009765625,307200,9.876,5,23,1
1-,A12,1-A12,0,307200,11.103,4,27,1
1-,B1,1-B1,10,1310720,86.453,59,109,2
1-,B2,1-B2,5,1310720,80.687,58,106,2
1-,B3,1-B3,2.5,1310720,85.32,62,106,2
1-,B4,1-B4,1.25,1310720,84.847,72,91,2
1-,B5,1-B5,0.625,1310720,85.16,73,94,2
1-,B6,1-B6,0.3125,1310720,85.62,69,97,2
1-,B7,1-B7,0.15625,1310720,61.153,47,81,2
1-,B8,1-B8,0.078125,1310720,37.353,26,56,2
1-,B9,1-B9,0.0390625,1310720,21.248,11,35,2
1-,B10,1-B10,0.01953125,307200,22.978,11,37,2
1-,B11,1-B11,0.009765625,307200,7.441,3,24,2
1-,B12,1-B12,0,307200,3.458,1,17,2
1-,C1,1-C1,10,1310720,86.445,62,112,3
1-,C2,1-C2,5,1310720,90.037,62,116,3
1-,C3,1-C3,2.5,1310720,82.071,51,109,3
1-,C4,1-C4,1.25,1310720,84.753,71,90,3
1-,C5,1-C5,0.625,1310720,85.796,70,97,3
1-,C6,1-C6,0.3125,1310720,79.864,60,97,3
1-,C7,1-C7,0.15625,1310720,44.198,32,63,3
1-,C8,1-C8,0.078125,1310720,23.533,13,40,3
1-,C9,1-C9,0.0390625,1310720,14.63,7,31,3
1-,C10,1-C10,0.01953125,307200,9.048,5,22,3
1-,C11,1-C11,0.009765625,307200,7.525,3,22,3
1-,C12,1-C12,0,307200,5.729,1,23,3
