Plate,Well,ID,Concentration,Area,Mean,Min,Max,Replicate
1-,A1,1-A1,1,1310720,18.373,3,255,1
1-,A2,1-A2,0.5,1310720,21.279,3,255,1
1-,A3,1-A3,0.25,1310720,23.564,5,255,1
1-,A4,1-A4,0.125,1310720,17.798,2,255,1
1-,A5,1-A5,0.0625,1310720,15.816,1,255,1
1-,A6,1-A6,0.03125,1310720,14.979,1,255,1
1-,A7,1-A7,0.015625,1310720,12.222,0,255,1
1-,A8,1-A8,0.0078125,1310720,12.703,1,255,1
1-,A9,1-A9,0.00390625,1310720,12.855,1,255,1
1-,A10,1-A10,0.001953125,1310720,15.181,0,255,1
1-,A11,1-A11,0.000976563,1310720,15.452,0,255,1
1-,A12,1-A12,0,1310720,5.938,0,255,1
1-,B1,1-B1,1,1310720,17.085,1,255,2
1-,B2,1-B2,0.5,1310720,18.708,2,255,2
1-,B3,1-B3,0.25,1310720,23.623,4,255,2
1-,B4,1-B4,0.125,1310720,18.492,3,255,2
1-,B5,1-B5,0.0625,1310720,18.893,3,255,2
1-,B6,1-B6,0.03125,1310720,16.376,2,255,2
1-,B7,1-B7,0.015625,1310720,13.649,1,255,2
1-,B8,1-B8,0.0078125,1310720,13.489,1,255,2
1-,B9,1-B9,0.00390625,1310720,12.851,1,255,2
1-,B10,1-B10,0.001953125,1310720,13.252,1,255,2
1-,B11,1-B11,0.000976563,1310720,14.218,1,255,2
1-,B12,1-B12,0,1310720,13.503,1,255,2
1-,C1,1-C1,1,1310720,17.82,2,255,3
1-,C2,1-C2,0.5,1310720,18.228,2,255,3
1-,C3,1-C3,0.25,1310720,20.98,3,255,3
1-,C4,1-C4,0.125,1310720,20.465,4,255,3
1-,C5,1-C5,0.0625,1310720,17.78,1,255,3
1-,C6,1-C6,0.03125,1310720,16.759,2,255,3
1-,C7,1-C7,0.015625,1310720,22.246,3,255,3
1-,C8,1-C8,0.0078125,1310720,16.432,1,255,3
1-,C9,1-C9,0.00390625,1310720,16.013,2,255,3
1-,C10,1-C10,0.001953125,1310720,13.25,1,255,3
1-,C11,1-C11,0.000976563,1310720,12.965,1,255,3
1-,C12,1-C12,0,1310720,12.933,1,255,3
