Plate,Well,ID,Concentration,Area,Mean,Min,Max,Replicate
1-,A1,1-A1,10,9494,20.48,8,39,1
1-,A2,1-A2,5,9494,7.869,3,14,1
1-,A3,1-A3,2.5,9494,6.908,3,14,1
1-,A4,1-A4,1.25,12091,7.435,1,28,1
1-,A5,1-A5,0.625,12091,2.033,0,9,1
1-,A6,1-A6,0.3125,12091,5.264,0,122,1
1-,A7,1-A7,0.15625,13447,11.64,0,60,1
1-,A8,1-A8,0.078125,13447,4.356,0,29,1
1-,A9,1-A9,0.0390625,13447,4.092,0,50,1
1-,A10,1-A10,0.01953125,15340,5.025,0,30,1
1-,A11,1-A11,0.009765625,15340,1.838,0,16,1
1-,A12,1-A12,0,15340,5.21,0,86,1
1-,B1,1-B1,10,9494,9.886,5,21,2
1-,B2,1-B2,5,9494,8.612,4,18,2
1-,B3,1-B3,2.5,9494,6.626,3,19,2
1-,B4,1-B4,1.25,12091,6.708,1,19,2
1-,B5,1-B5,0.625,12091,2.91,0,11,2
1-,B6,1-B6,0.3125,12091,2.03,0,30,2
1-,B7,1-B7,0.15625,13447,6.468,0,55,2
1-,B8,1-B8,0.078125,13447,2.785,0,14,2
1-,B9,1-B9,0.0390625,13447,2.051,0,15,2
1-,B10,1-B10,0.01953125,15340,3.224,0,18,2
1-,B11,1-B11,0.009765625,15340,1.887,0,13,2
1-,B12,1-B12,0,15340,2.55,0,63,2
1-,C1,1-C1,10,9494,23.535,9,83,3
1-,C2,1-C2,5,9494,11.766,6,33,3
1-,C3,1-C3,2.5,9494,9.967,4,34,3
1-,C4,1-C4,1.25,12091,14.215,1,134,3
1-,C5,1-C5,0.625,12091,4.254,0,17,3
1-,C6,1-C6,0.3125,12091,7.796,0,104,3
1-,C7,1-C7,0.15625,13447,5.537,0,91,3
1-,C8,1-C8,0.078125,13447,2.095,0,15,3
1-,C9,1-C9,0.0390625,13447,2.462,0,31,3
1-,C10,1-C10,0.01953125,15340,6.884,0,49,3
1-,C11,1-C11,0.009765625,15340,1.672,0,16,3
1-,C12,1-C12,0,15340,6.337,0,131,3
